count,pages_per_second,percentage_complete,memory in use
250000,54.11058507566181,1.6862264495943666,27.1
10000,45.822684182493624,1.7551459134006848,27.1
20000,56.33865441138923,1.8233851814322946,27.1
30000,61.19789973408974,1.9026639001428665,27.3
40000,64.26234507172231,1.9800879235422773,27.2
50000,66.36921755388902,2.0548883346678126,27.4
60000,68.65837493213243,2.126934164146703,27.2
70000,70.84868023236372,2.200847363392185,27.3
80000,72.72984228463861,2.2725974555777237,27.3
90000,74.48408318587862,2.3520071436610652,27.2
100000,75.67243855700319,2.4327898977492532,27.3
110000,76.78693654487668,2.5097703152086366,27.2
120000,77.34393995168006,2.5876294949111216,27.2
130000,77.5230699523968,2.6605625362700667,27.5
140000,77.89285505673,2.741488934186454,27.3
150000,78.29854610571486,2.8251656889310093,27.3
160000,79.32675282835312,2.8984367157680704,27.2
170000,79.75855696146137,2.993942962246684,27.3
180000,73.45860788006647,3.075279167555287,29.1
190000,74.32538310463379,3.1515286914182448,29.0
200000,75.34471250688765,3.223519598256942,29.0
210000,76.6204542342978,3.291564524638634,29.1
220000,78.84350393763862,3.347289880343001,29.3
230000,80.50599524271509,3.409665100329299,29.2
240000,82.92061292892316,3.4634512643529756,29.2
250000,85.26739813885177,3.520317321045984,29.2
10000,50.51312399512634,3.5870821274293125,16.7
20000,65.2046472517101,3.663547117034569,16.7
30000,72.46225305538856,3.741592188750018,16.7
40000,77.38285322132947,3.8175966731413413,16.8
50000,79.69997982018882,3.8958529857806132,16.7
60000,81.956471456833,3.975858373269134,16.7
70000,85.48617346019802,4.0508658005000155,16.6
80000,87.29876818171789,4.1357255044179775,16.9
90000,87.85202794546542,4.217695432498047,16.8
100000,89.48001757483748,4.2971262446737715,17.0
110000,89.97670040126421,4.377254151898109,16.9
120000,90.97006910924037,4.461919514166154,16.8
130000,92.44185362319999,4.543116300465034,16.7
140000,93.75576071713085,4.624735568611559,16.8
150000,94.49098075313577,4.708716510286419,16.7
160000,93.48452443509453,4.7909357026566,17.0
170000,93.86291908865795,4.872669040901989,16.9
180000,94.84646031846147,4.955217769113332,16.9
190000,95.52717676613486,5.041420965306805,16.8
200000,96.38159115924346,5.125477953714241,16.8
210000,96.38716762116395,5.2102447116257204,16.8
220000,96.57740962093327,5.293803171452936,17.1
230000,96.9007611031632,5.379326171871699,17.2
240000,98.10178957355133,5.459568149194902,17.0
250000,99.7617363204066,5.530278936035234,16.9
10000,41.143124753614046,5.6001827825465655,16.9
20000,60.080878227614726,5.67882777848567,16.9
30000,70.38894451635296,5.775521198956166,17.0
40000,78.75892686579455,5.882244338489753,16.9
50000,84.35415445473699,5.979258845164458,16.9
